aegadel	ae-ga-del	26.00
aegadesse	ae-ga-des-se	0.93
aegadest	ae-ga-dest	9.73
aegajalt	aeg_a-jalt	7.53
aegamööda	ae-ga_möö-da	6.60
aegapidi	ae-ga_pi-di	2.27
aegasid	ae-ga-sid	0.13
aeglane	aeg-la-ne	13.87
aeglased	aeg-la-sed	2.93
aeglaseks	aeg-la-seks	1.33
aeglasel	aeg-la-sel	1.27
aeglaselt	aeg-la-selt	0.53
aeglasem	aeg-la-sem	6.20
aeglasemaks	aeg-la-se-maks	1.53
aeglasemalt	aeg-la-se-malt	0.40
aeglast	aeg-last	2.60
aeglus	aeg-lus	1.33
aegluse	aeg-lu-se	0.73
aeglusta	aeg-lus-ta	0.27
aeglustaks	aeg-lus-taks	0.07
aeglustas	aeg-lus-tas	0.87
aeglustavad	aeg-lus-ta-vad	0.73
aegne	aeg-ne	2.73
aegsasti	aeg-sas-ti	7.27
aegsel	aeg-sel	0.13
aegu	ae-gu	15.27
aegub	ae-gub	0.53
aegunud	ae-gu-nud	2.20
aerodroomide	ae-ro_droo-mi-de	0.07
aeroobika	ae-roo-bi-ka	0.53
aeroobikas	ae-roo-bi-kas	0.07
aeroobikat	ae-roo-bi-kat	0.53
aeroobikatreener	ae-roo-bi-ka_tree-ner	0.07
aerosoolina	ae-ro-soo-li-na	0.07
aeta	ae-ta	0.73
aetagu	ae-ta-gu	0.07
aetakse	ae-tak-se	8.47
aeti	ae-ti	9.53
aetud	ae-tud	0.53
aetuna	ae-tu-na	0.67
aevastamist	ae-vas-ta-mist	0.07
afäär	a-fäär	1.07
aferist	a-fe-rist	0.47
aferiste	a-fe-ris-te	0.13
aff	aff	0.07
afišeerita	a-fi-šee-ri-ta	0.07
aforism	a-fo-rism	0.20
aga	a-ga	4362.00
ägades	ä-ga-des	0.53
again	a-gain	0.60
against	a-gainst	0.33
agar	a-gar	1.47
agaralt	a-ga-ralt	5.13
age	a-ge	0.47
äge	ä-ge	13.40
ägedad	ä-ge-dad	2.27
ägedaimad	ä-ge-dai-mad	0.20
ägedalt	ä-ge-dalt	0.13
ägedamaid	ä-ge-da-maid	0.33
ägedat	ä-ge-dat	3.07
ägenemises	ä-ge-ne-mi-ses	0.20
agentuur	a-gen-tuur	4.73
agentuuri	a-gen-tuu-ri	1.27
agentuurid	a-gen-tuu-rid	0.53
agentuuride	a-gen-tuu-ri-de	0.67
agentuurile	a-gen-tuu-ri-le	1.13
ägiseb	ä-gi-seb	0.40
ägises	ä-gi-ses	1.40
agiteerima	a-gi-tee-ri-ma	0.13
ago	a-go	0.20
agregaatide	ag-re-gaa-ti-de	0.20
agressiivne	ag-res-siiv-ne	0.07
agressiivselt	ag-res-siiv-selt	0.07
agressiivsus	ag-res-siiv-sus	1.60
agressiivsust	ag-res-siiv-sust	1.73
agressiooni	ag-res-si-oo-ni	0.07
agrotehnikaga	ag-ro_teh-ni-ka-ga	0.13
agu	a-gu	0.67
aguli	a-gu-li	0.40
agulimaja	a-gu-li_ma-ja	0.13
agulisse	a-gu-lis-se	0.27
ah	ah	84.40
ahas	a-has	0.33
ahastus	a-has-tus	0.13
ahastuse	a-has-tu-se	0.93
ahastuses	a-has-tu-ses	1.33
ahastusest	a-has-tu-sest	0.53
ahastushetkel	a-has-tus_het-kel	0.07
ahela	a-he-la	4.33
ahelat	a-he-lat	1.47
aheldatud	a-hel-da-tud	0.80
ahelreaktsiooni	a-hel_reakt-si-oo-ni	0.07
aher	a-her	0.33
ahervaremed	a-her_va-re-med	0.47
ahi	a-hi	4.73
ahikütte	a-hi_küt-te	0.07
ahiküttega	a-hi_küt-te-ga	0.20
ahista	a-his-ta	0.40
ahistad	a-his-tad	0.07
ahistada	a-his-ta-da	0.40
ahistaja	a-his-ta-ja	0.13
ahistama	a-his-ta-ma	0.73
ahistamine	a-his-ta-mi-ne	1.13
ahistav	a-his-tav	1.13
ahistava	a-his-ta-va	0.60
ahju	ah-ju	3.33
ahjud	ah-jud	0.07
ahjuroobiga	ah-ju_roo-bi-ga	0.20
ahjus	ah-jus	5.47
ahjust	ah-just	1.53
ähkides	äh-ki-des	1.40
ähkis	äh-kis	1.80
ähmane	äh-ma-ne	3.67
ähmase	äh-ma-se	0.73
ähmasevõitu	äh-ma-se_või-tu	0.07
ähmastuda	äh-mas-tu-da	0.07
ähmi	äh-mi	1.07
ahminud	ah-mi-nud	0.20
ahmis	ah-mis	2.13
ahmisin	ah-mi-sin	0.93
ahneid	ah-neid	0.27
ahnelt	ah-nelt	5.27
ahnepäits	ah-ne_päits	0.07
ahnet	ah-net	0.40
ahnitseks	ah-nit-seks	0.07
ahnuse	ah-nu-se	0.87
ahsoo	ah-soo	0.07
ahtaks	ah-taks	0.60
ahtri	aht-ri	0.47
ähvarda	äh-var-da	2.47
ähvardab	äh-var-dab	18.13
ähvardada	äh-var-da-da	2.27
ähvardanud	äh-var-da-nud	0.07
ähvardanuks	äh-var-da-nuks	0.13
ähvardas	äh-var-das	14.07
ähvardatakse	äh-var-da-tak-se	0.93
ähvardav	äh-var-dav	2.53
ähvardava	äh-var-da-va	3.13
ähvardavad	äh-var-da-vad	3.40
ähvardavaks	äh-var-da-vaks	0.27
ähvardavalt	äh-var-da-valt	5.93
ähvardavat	äh-var-da-vat	0.60
ähvardus	äh-var-dus	3.40
ähvarduse	äh-var-du-se	1.73
ähvardused	äh-var-du-sed	0.07
ähvardusena	äh-var-du-se-na	0.47
ähvardusi	äh-var-du-si	1.40
ähvarduste	äh-var-dus-te	1.20
ähvardustest	äh-var-dus-test	0.53
ahvatleb	ah-vat-leb	1.53
ahvatleda	ah-vat-le-da	1.33
ahvatles	ah-vat-les	0.80
ahvatletakse	ah-vat-le-tak-se	0.07
ahvatlev	ah-vat-lev	5.13
ahvatlevaks	ah-vat-le-vaks	0.87
ahvatlevalt	ah-vat-le-valt	0.93
ahvatlusi	ah-vat-lu-si	0.53
ahvenad	ah-ve-nad	0.27
ahvid	ah-vid	1.53
ahvipärdik	ah-vi_pär-dik	0.07
ahvist	ah-vist	0.60
äi	äi	0.20
aia	ai-a	19.33
aiale	ai-a-le	0.87
aiamaa	ai-a_maa	0.13
aiamaal	ai-a_maal	0.47
aiamaja	ai-a_ma-ja	0.07
aiandis	ai-an-dis	0.47
aiandusagronoom	ai-an-dus_ag-ro-noom	0.13
aianduse	ai-an-du-se	1.13
aianduskooperatiivid	ai-an-dus_koo-pe-ra-tii-vid	0.07
aiandusraamatuid	ai-an-dus_raa-ma-tuid	0.07
aias	ai-as	13.53
aiasaadustega	ai-a_saa-dus-te-ga	0.07
aiateibast	ai-a_tei-bast	0.20
aida	ai-da	5.67
aidake	ai-da-ke	1.87
aidaku	ai-da-ku	0.27
aidand	ai-dand	0.07
aidanud	ai-da-nud	1.00
aidas	ai-das	2.53
aidata	ai-da-ta	63.73
aidatakse	ai-da-tak-se	1.53
aidaukse	ai-da_uk-se	0.87
aidsi	aid-si	0.87
aidsiavastuse	aid-si_a-vas-tu-se	0.07
aidsiviiruse	aid-si_vii-ru-se	0.07
aidsiviirust	aid-si_vii-rust	0.07
aig	aig	0.33
äigas	äi-gas	1.40
aige	ai-ge	0.13
aigeks	ai-geks	0.07
aijah	ai-jah	0.07
äike	äi-ke	2.47
äikese	äi-ke-se	2.00
äikesepilv	äi-ke-se_pilv	0.27
äikest	äi-kest	2.80
aim	aim	0.73
aima	ai-ma	0.80
aimab	ai-mab	2.73
aimad	ai-mad	0.47
aimagi	ai-ma-gi	0.60
aimamata	ai-ma-ma-ta	0.73
aimamatu	ai-ma-ma-tu	0.13
aiman	ai-man	1.73
aimanud	ai-ma-nud	0.87
aimanudki	ai-ma-nud-ki	0.07
aimas	ai-mas	10.20
aimasid	ai-ma-sid	0.20
aimata	ai-ma-ta	18.67
aimatagi	ai-ma-ta-gi	2.27
aimatava	ai-ma-ta-va	0.20
aimatavad	ai-ma-ta-vad	0.67
aimates	ai-ma-tes	2.87
aimdus	aim-dus	2.53
aime	ai-me	0.07
aimu	ai-mu	1.00
aimub	ai-mub	1.33
aimugi	ai-mu-gi	0.67
aimus	ai-mus	1.00
aina	ai-na	97.07
aind	aind	0.40
aine	ai-ne	31.47
ained	ai-ned	8.53
ainega	ai-ne-ga	3.40
aineid	ai-neid	12.80
ainest	ai-nest	8.00
ainet	ai-net	12.40
ainetes	ai-ne-tes	1.53
ainevahetushaiguste	ai-ne_va-he-tus_hai-gus-te	0.27
ainevahetust	ai-ne_va-he-tust	0.07
ainiti	ai-ni-ti	4.07
ainitist	ai-ni-tist	0.13
ainlt	ainlt	0.07
ainsa	ain-sa	16.60
ainsad	ain-sad	8.00
ainsagi	ain-sa-gi	2.07
ainsaks	ain-saks	20.27
ainsana	ain-sa-na	1.93
ainsas	ain-sas	0.93
ainsast	ain-sast	1.40
ainsat	ain-sat	4.33
ainsatki	ain-sat-ki	11.60
aint	aint	0.47
ainu	ai-nu	0.07
ainud	ai-nud	0.07
ainuisikuline	ai-nu_i-si-ku-li-ne	0.67
ainuisikuliselt	ai-nu_i-si-ku-li-selt	2.27
ainuke	ai-nu-ke	0.33
ainukene	ai-nu-ke-ne	1.93
ainukese	ai-nu-ke-se	4.80
ainukesed	ai-nu-ke-sed	2.40
ainukeseks	ai-nu-ke-seks	3.93
ainukesena	ai-nu-ke-se-na	3.27
ainukeses	ai-nu-ke-ses	0.40
ainulaadne	ai-nu_laad-ne	5.40
ainulaadsus	ai-nu_laad-sus	0.27
ainuline	ai-nu-li-ne	0.53
ainuliselt	ai-nu-li-selt	0.07
ainult	ai-nult	1166.93
ainumas	ai-nu-mas	1.13
ainumastki	ai-nu-mast-ki	0.07
ainumõeldav	ai-nu_mõel-dav	0.60
ainuõige	ai-nu_õi-ge	0.60
ainuomase	ai-nu_o-ma-se	0.73
ainuomast	ai-nu_o-mast	0.60
ainupartei	ai-nu_par-tei	0.13
ainus	ai-nus	7.07
ainuski	ai-nus-ki	0.33
ainustki	ai-nust-ki	0.27
ainuüksi	ai-nu_ük-si	34.33
ais	ais	0.60
aisa	ai-sa	0.07
aisad	ai-sad	0.13
aisakelladega	ai-sa_kel-la-de-ga	0.07
aissi	ais-si	0.07
aistega	ais-te-ga	0.20
aistingud	ais-tin-gud	0.60
aistinguid	ais-tin-guid	0.60
aistisin	ais-ti-sin	0.07
aisu	ai-su	0.13
ait	ait	1.20
aita	ai-ta	13.33
aitab	ai-tab	108.73
aitad	ai-tad	1.47
aitaja	ai-ta-ja	0.27
aitaks	ai-taks	18.60
aitama	ai-ta-ma	0.07
aitamas	ai-ta-mas	0.53
aitame	ai-ta-me	2.33
aitan	ai-tan	4.60
aitas	ai-tas	44.93
aitasid	ai-ta-sid	15.33
aitavad	ai-ta-vad	0.27
aiva	ai-va	2.53
aja	a-ja	281.93
ajaarvamine	a-ja_ar-va-mi-ne	0.60
ajab	a-jab	45.53
ajad	a-jad	30.47
ajada	a-ja-da	62.13
ajades	a-ja-des	8.00
ajaga	a-ja-ga	39.53
ajage	a-ja-ge	0.47
ajagi	a-ja-gi	0.20
ajahetkel	a-ja_het-kel	7.80
ajajad	a-ja-jad	0.07
ajakajalisust	a-ja_ka-ja-li-sust	0.07
ajakava	a-ja_ka-va	1.73
ajakiri	a-ja_ki-ri	0.13
ajakirja	a-ja_kir-ja	2.80
ajakirjadest	a-ja_kir-ja-dest	0.67
ajakirjale	a-ja_kir-ja-le	3.60
ajakirjandus	a-ja_kir-jan-dus	0.07
ajakirjanduse	a-ja_kir-jan-du-se	22.07
ajakirjanduseni	a-ja_kir-jan-du-se-ni	0.13
ajakirjanduses	a-ja_kir-jan-du-ses	25.27
ajakirjandust	a-ja_kir-jan-dust	4.07
ajakirjanik	a-ja_kir-ja-nik	20.67
ajakirjanike	a-ja_kir-ja-ni-ke	12.27
ajakirjanikele	a-ja_kir-ja-ni-ke-le	12.87
ajakirjanikke	a-ja_kir-ja-nik-ke	5.20
ajakirjanikku	a-ja_kir-ja-nik-ku	0.07
ajakirjanikkudel	a-ja_kir-ja-nik-ku-del	0.07
ajakirjaniku	a-ja_kir-ja-ni-ku	9.07
ajakirjanikud	a-ja_kir-ja-ni-kud	0.07
ajakirjanikulgi	a-ja_kir-ja-ni-kul-gi	0.13
ajakirjanikult	a-ja_kir-ja-ni-kult	0.40
ajakirjas	a-ja_kir-jas	16.00
ajakirjast	a-ja_kir-jast	2.27
ajakirju	a-ja_kir-ju	3.87
ajaks	a-jaks	0.07
ajaksid	a-jak-sid	0.13
ajal	a-jal	0.73
ajale	a-ja-le	10.27
ajalehe	a-ja_le-he	28.07
ajalehed	a-ja_le-hed	0.20
ajalehega	a-ja_le-he-ga	0.73
ajalehele	a-ja_le-he-le	10.27
ajalehes	a-ja_le-hes	16.87
ajalehest	a-ja_le-hest	5.00
ajaleht	a-ja_leht	0.20
ajalehte	a-ja_leh-te	1.80
ajalehtede	a-ja_leh-te-de	9.73
ajalehtedega	a-ja_leh-te-de-ga	0.07
ajalehtedes	a-ja_leh-te-des	6.87
ajalehtedesse	a-ja_leh-te-des-se	0.40
ajalehti	a-ja_leh-ti	0.07
ajalgi	a-jal-gi	0.27
ajalikus	a-ja-li-kus	0.67
ajalise	a-ja-li-se	6.67
ajaliselt	a-ja-li-selt	0.33
ajaloo	a-ja_loo	104.40
ajaloolane	a-ja_loo-la-ne	6.53
ajaloolaste	a-ja_loo-las-te	3.80
ajalooline	a-ja_loo-li-ne	16.20
ajaloolise	a-ja_loo-li-se	18.53
ajaloolised	a-ja_loo-li-sed	4.73
ajalooliselt	a-ja_loo-li-selt	0.27
ajaloolises	a-ja_loo-li-ses	4.07
