word,segments,pseudoword,statistics_overlap_ratio,statistics_plain_length,statistics_lexicality,statistics_ned1,statistics_old20,statistics_overlap,statistics_transition_frequencies_0,statistics_transition_frequencies_1,statistics_transition_frequencies_2,statistics_transition_frequencies_3,statistics_transition_frequencies_4,statistics_transition_frequencies_5,statistics_transition_frequencies_6,difference_statistics_plain_length,difference_statistics_ned1,difference_statistics_old20,difference_statistics_transition_frequencies_0,difference_statistics_transition_frequencies_1,difference_statistics_transition_frequencies_2,difference_statistics_transition_frequencies_3,difference_statistics_transition_frequencies_4,difference_statistics_transition_frequencies_5,difference_statistics_transition_frequencies_6
elu,e-lu,igu,2/3,1,N,11,1.45,4,1499,155,524,462,212,674,4323,0,-5,0.34999999999999987,0,-13,97,-164,-20,0,0
elu,e-lu,ogu,2/3,1,N,8,1.6,4,1499,175,323,462,212,674,4323,0,-8,0.5,0,7,-104,-164,-20,0,0
elund,e-lund,elant,2/3,3,N,2,1.9,4,1499,168,427,626,277,6,18,0,-1,0.1499999999999999,0,0,0,0,45,-10,-64
elund,e-lund,elang,2/3,3,N,2,1.9,4,1499,168,427,626,277,3,34,0,-1,0.1499999999999999,0,0,0,0,45,-13,-48
elund,e-lund,osund,2/3,3,N,2,1.9,4,1499,175,323,543,243,16,82,0,-1,0.1499999999999999,0,7,-104,-83,11,0,0
elund,e-lund,oland,2/3,3,N,4,1.8,4,1499,175,323,626,277,24,82,0,1,0.050000000000000044,0,7,-104,0,45,8,0
elund,e-lund,olung,2/3,3,N,0,2.15,4,1499,175,323,626,232,2,34,0,-3,0.3999999999999999,0,7,-104,0,0,-14,-48
elund,e-lund,olurg,2/3,3,N,0,2.65,4,1499,175,323,626,232,1,1,0,-3,0.8999999999999999,0,7,-104,0,0,-15,-81
elund,e-lund,olurt,2/3,3,N,0,2.0,4,1499,175,323,626,232,1,16,0,-3,0.25,0,7,-104,0,0,-15,-66
elund,e-lund,olurd,2/3,3,N,1,1.95,4,1499,175,323,626,232,1,5,0,-2,0.19999999999999996,0,7,-104,0,0,-15,-77
elund,e-lund,olunt,2/3,3,N,0,2.0,4,1499,175,323,626,232,1,18,0,-3,0.25,0,7,-104,0,0,-15,-64
elund,e-lund,onund,2/3,3,N,1,2.0,4,1499,175,323,532,228,16,82,0,-2,0.25,0,7,-104,-94,-4,0,0
endine,en-di-ne,ezhane,2/3,4,N,0,2.55,6,2852,484,1,1,172,3208,1129,518,2730,7557,0,-2,0.7499999999999998,0,0,-98,-211,-111,158,0,0,0,0
endine,en-di-ne,ezhina,2/3,4,N,0,2.9,6,2852,484,1,1,178,3050,1129,316,2585,7557,0,-2,1.0999999999999999,0,0,-98,-211,-105,0,0,-202,-145,0
endine,en-di-ne,ersane,2/3,4,N,0,2.6,6,2852,484,67,24,380,3208,1129,518,2730,7557,0,-2,0.8,0,0,-32,-188,97,158,0,0,0,0
endine,en-di-ne,errina,2/3,4,N,0,2.6,6,2852,484,67,57,462,3050,1129,316,2585,7557,0,-2,0.8,0,0,-32,-155,179,0,0,-202,-145,0
endine,en-di-ne,errane,2/3,4,N,0,2.65,6,2852,484,67,57,370,3208,1129,518,2730,7557,0,-2,0.8499999999999999,0,0,-32,-155,87,158,0,0,0,0
endine,en-di-ne,erbina,2/3,4,N,0,2.7,6,2852,484,67,26,171,3050,1129,316,2585,7557,0,-2,0.9000000000000001,0,0,-32,-186,-112,0,0,-202,-145,0
endine,en-di-ne,erbane,2/3,4,N,0,2.5,6,2852,484,67,26,182,3208,1129,518,2730,7557,0,-2,0.7,0,0,-32,-186,-101,158,0,0,0,0
endine,en-di-ne,ervina,2/3,4,N,0,2.6,6,2852,484,67,141,259,3050,1129,316,2585,7557,0,-2,0.8,0,0,-32,-71,-24,0,0,-202,-145,0
endine,en-di-ne,ervane,2/3,4,N,0,2.45,6,2852,484,67,141,396,3208,1129,518,2730,7557,0,-2,0.6500000000000001,0,0,-32,-71,113,158,0,0,0,0
endine,en-di-ne,ertina,2/3,4,N,0,2.65,6,2852,484,67,66,301,3050,1129,316,2585,7557,0,-2,0.8499999999999999,0,0,-32,-146,18,0,0,-202,-145,0
etendama,e-ten-da-ma,idindaga,2/3,6,N,0,3.0,8,2496,306,741,446,131,68,462,564,3343,689,584,1885,6147,0,0,0.5,0,-248,-129,70,-83,-237,0,0,0,-112,121,0,0
etendama,e-ten-da-ma,idindada,2/3,6,N,0,2.95,8,2496,306,741,446,131,68,462,564,3343,940,439,1885,6147,0,0,0.4500000000000002,0,-248,-129,70,-83,-237,0,0,0,139,-24,0,0
etendama,e-ten-da-ma,idandaga,2/3,6,N,1,2.9,8,2496,306,741,446,194,162,462,564,3343,689,584,1885,6147,0,1,0.3999999999999999,0,-248,-129,70,-20,-143,0,0,0,-112,121,0,0
etendama,e-ten-da-ma,idandada,2/3,6,N,0,2.65,8,2496,306,741,446,194,162,462,564,3343,940,439,1885,6147,0,0,0.1499999999999999,0,-248,-129,70,-20,-143,0,0,0,139,-24,0,0
etendama,e-ten-da-ma,ibandaga,2/3,6,N,1,2.9,8,2496,306,741,322,111,162,462,564,3343,689,584,1885,6147,0,1,0.3999999999999999,0,-248,-129,-54,-103,-143,0,0,0,-112,121,0,0
